文件夹名称,题目名称,类别,出题人,难度,解出人数,最终分数
blockchain-treasure,生蚝的宝藏,Blockchain,shenghuo2,中等,18,484
crypto-baaaaaag,baaaaaag,Crypto,pirater,中等,49,181
crypto-ez-math,ez_math,Crypto,sudopacman,简单,353,50
crypto-linear,Linear,Crypto,未央,中等,87,112
crypto-mid-math,mid_math,Crypto,sudopacman,简单,202,50
crypto-space-travel,Space Travel,Crypto,糖醋小鸡块,中等,39,234
misc-avatar,v我50(R)MB,Misc,"ZianTT, LilRan",简单,84,114
misc-png-master,PNG Master,Misc,YanHuoLG,简单,133,101
misc-public-ahead,提前放出附件,Misc,C3ngH,简单,41,221
pwn-checkin,签到,Pwn,gets,签到,203,50
pwn-heap-pivoting,heap_Pivoting,Pwn,gets,简单,28,333
pwn-ilikecpp,I like C 艹,Pwn,inkey,中等,7,766
pwn-kuroko,白井黑子·风纪委,Pwn,kuroko,困难,0,1000
pwn-ret2all,ret2all,Pwn,YX-hueimie,困难,4,874
pwn-trumanshow,The Truman Show,Pwn,c_lby,中等,18,484
re-arm-asm,ARM ASM,Reverse,PangBai,简单,170,100
re-captcha,1'M no7 A rO6oT,Reverse,LilRan,简单,102,105
re-obfusheader,obfusheader.h,Reverse,LilRan,困难,50,177
re-oh-my-uboot,Oh_My_Uboot,Reverse,PangBai,中等,28,333
re-qt-creator,Qt_Creator,Reverse,晓梦ovo,简单,61,144
warmup-crypto-just-decrypt,对称！Just Decrypt,Crypto,Anonymous,N/A,130,105
warmup-misc-questionnaire,签到！真实世界的过期问卷,Misc,Anonymous,N/A,81,136
warmup-pwn-kuroko,电击！白井黑子,Pwn,Anonymous,N/A,5,866
warmup-re-pyarmor-mini,纸老虎！真实世界的 Pyarmor Mini,Reverse,Anonymous,N/A,6,836
warmup-web-turboflash,接力！TurboFlash,Web,Anonymous,N/A,40,289
web-blade-cc,blade_cc,Web,N1ght,困难,5,836
web-ekko_exec,Ekko_note,Web,LamentXU,简单,136,101
web-ez-bottle,ez_bottle,Web,0raN9e,简单,206,100
web-one-job,我曾有一份工作,Web,晨曦,中等,18,484
web-php_jail_is_my_cry,php_jail_is_my_cry,Web,Kengwang,中等,10,673
web-your_uns3r,Your Uns3r,Web,Kengwang,简单,75,122
